Source/Target,Accademico,AnnoDidattico,Aula,Corso,CorsoLaurea,Giorno,Lezione,Messaggio,Resto,Ruolo,Tipo,Topic,Utente,AnnoDidatticoService,CorsoLaureaService,MessaggioService,UserDirectory
DatabasePopulator,X,X,X,X,X,X,X,,X,X,X,,X,,,,
IndexServlet,,,,,X,,,,,,,,X,,X,,
chatServlet,X,,,,,,,X,,,X,X,,,,X,X
ConversazioniServlet,X,,,,,,,X,,,X,X,,,,X,X
inviaMessaggioChatServlet,X,,,,,,,X,,,X,X,,,,X,X
invioMessaggioServlet,X,,,,,,,X,,,X,X,,,,X,X
Messaggio,X,,,,,,,,X,,,X,,,,,,
Topic,,,,,X,,,,X,,,,,,,,
MessaggioDAO,,,,,,,,X,,,X,,,,,,
TopicDAO,,,,,,,,,,,,X,,,,,,
MessaggioService,X,,,,,,,,X,,,X,X,,,,X
TopicService,,,,,,,,,,,,X,,,,,,
AulaServlet,,,,,,,,,,,,,,,,
cercaOrario,,X,,,X,,X,,X,,,,,,X,X,,
EdificioServlet,,,X,,,,X,,,,,,,,,,
getAnno,,X,,,X,,,,,,,,,,,X,X,,
getResto,,,,,X,,,,X,,,,,,,X,,
AnnoDidattico,,,,X,X,,,,,,,,,,,,
Aula,,,,,,,X,,,,,,,,,,
Corso,,X,,,X,,X,,,,,,,,,,
CorsoLaurea,X,X,,,X,,,X,X,,,,,,,,
Lezione,X,,X,X,,,X,,X,,X,,,,,,
Resto,X,,,,X,,X,,,,,,,,,,
AnnoDidatticoService,,X,,,,,,,,,,,,,,,,
AulaService,,,X,,,,,,,,,,,,,,,
CorsoLaureaService,,,,,X,,,,,,,,,,,,
CorsoService,,,,X,,,,,,,,,,,,,
Accademico,,,,,X,,X,X,X,X,,X,X,,,,
Utente,,,,,,,,,,,X,,X,,,,
AccademicoDAO,X,,,,,,,,X,,,,,,,,
UtenteDAO,,,,,,,,,,,,,X,,,,
UserDirectory,X,,,,,,,,X,X,,,X,,,,
UtenteService,X,,,,,,,,X,X,,,X,,,,
